id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
178,Early Modern,1503-1510,The Geese Book,http://geesebook.asu.edu,yes,yes,yes,LAT,Manuscript,not provided,not provided,Volker Schier; Corine Schleif,Arizona State University,not provided,partly,not provided,not provided,not provided,no,yes,yes,no,no,no,GER; ENG,no,yes,no,no,no,Open Access and Open Source (some data),no,no,no,yes,no,yes,Keyed,no,not provided,not provided,The Morgan Library and Museum,Germany,"Samuel H. Kress Foundation; National Endowment for the Humanities; Sparda Bank Nürnberg; Zukunftsstiftung der Stadtsparkasse Nürnberg; Kulturfonds der Dr. Lorenz Tucher'schen Stiftung; Freiherr von Haller'sche Forschungsstiftung; Arizona State University - Herberger Institute for Design and the Arts - Institute for Humanities Research; Erzbistum Bamberg: Verlag Nürnberger Presse; Bezirk Mittelfranken, Stiftung Natur-Kultur-Struktur; Sigma (Deutschland) GmbH; Wolf Photo Media, Fürth.",not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D131-1
179,Early Modern,1600-1662,The Hartlib Papers Project,https://www.hrionline.ac.uk/hartlib/,yes,yes,yes,ENG; GER,Manuscript,1989,1996,Mark Greengrass,University of Sheffield,not provided,partly,not provided,not provided,partly,no,yes,yes,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,University of Sheffield,England,not provided,not provided,CDROM,no,no,yes,not provided,21.11115/0000-000B-D132-0
180,Long Nineteenth Century,1830-1894,The Letters of Christina Rossetti,http://rotunda.upress.virginia.edu/crossetti/,yes,yes,yes,ENG,Manuscript,2006,not provided,Antony H. Harrison,University of Virginia,not provided,partly,not provided,yes,yes,no,yes,yes,no,no,no,ENG,not provided,yes,yes,yes,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,England,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D133-F
181,Long Nineteenth Century,1822-1888,The Letters of Matthew Arnold,http://rotunda.upress.virginia.edu/arnold/,yes,yes,yes,ENG,Manuscript,2006,not provided,Cecil Y. Lang,University of Virginia,not provided,partly,not provided,yes,yes,no,not provided,not provided,not provided,not provided,no,ENG,not provided,yes,yes,yes,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,England,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D134-E
182,Middle Ages,1469-1470,The Malory Project,http://www.maloryproject.com/,yes,yes,yes,ENM,Manuscript,2005,2010,Takako Kato,University of Leicester; Loyola University Chicago,Malory and manuscript scholars; teachers,yes,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,no,yes,yes,yes,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,British Library; John Rylands University Library,England,"Digital Research Centre, Keio University",not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D135-D
183,Early Modern; Long Nineteenth Century,1755-1804,The Papers of Alexander Hamilton,http://rotunda.upress.virginia.edu/founders/ARHN.html,yes,yes,yes,ENG,Manuscript,2011,present,Harold C. Syrett,University of Virginia,not provided,partly,not provided,yes,yes,no,not provided,not provided,not provided,not provided,no,ENG,not provided,yes,yes,yes,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D136-C
184,Early Modern; Long Nineteenth Century,1739-1830,The Papers of Eliza Lucas Pinckney and Harriot Pinckney Horry,http://rotunda.upress.virginia.edu/PinckneyHorry/,yes,yes,yes,ENG,Manuscript,2012,present,Constance Schulz,University of Virginia,not provided,partly,not provided,yes,yes,no,not provided,not provided,not provided,not provided,no,ENG,yes,yes,yes,yes,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia; National Endowment for the Humanities,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D137-B
185,Early Modern; Long Nineteenth Century,1732-1799,The Papers of George Washington,http://rotunda.upress.virginia.edu/founders/GEWN.html,yes,yes,yes,ENG,Manuscript,2008,present,Edward G. Lengel,University of Virginia,not provided,partly,not provided,yes,yes,no,not provided,not provided,not provided,not provided,no,ENG,not provided,yes,yes,yes,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D138-A
186,Early Modern; Long Nineteenth Century,1751-1836,The Papers of James Madison,http://rotunda.upress.virginia.edu/founders/JSMN.html,yes,yes,yes,ENG,Manuscript,2010,present,J. C. A. Stagg,University of Virginia,not provided,partly,not provided,yes,yes,no,not provided,not provided,not provided,not provided,no,ENG,not provided,yes,yes,yes,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D139-9
187,Early Modern; Long Nineteenth Century,1743-1826,The Papers of Thomas Jefferson,http://rotunda.upress.virginia.edu/founders/TSJN.html,yes,yes,yes,ENG,Manuscript,2009,present,James P. McClure; J. Jefferson Looney,University of Virginia,not provided,partly,not provided,yes,yes,no,not provided,not provided,not provided,not provided,no,ENG,not provided,yes,yes,yes,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,United States,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D13A-8
188,Long Nineteenth Century,1843-1920,The Pérez Galdós Editions Project,http://hridigital.shef.ac.uk/galdos,yes,yes,yes,SPA,Manuscript,1996,not provided,N. G. Round; Rhian Davies; Jamie McLaughlin,University of Sheffield,Scholars of Galdós,yes,not provided,not provided,partly,no,no,no,no,no,no,ENG,no,yes,yes,yes,no,yes,no,no,no,yes,partly,no,Keyed,no,not provided,not provided,not provided,Spain,not provided,not provided,CDROM,yes,no,yes,not provided,21.11115/0000-000B-D13B-7
189,Middle Ages,943,The Planctus for William Longsword,http://vlib.iue.it/carrie/documents/planctus/planctus/index.html,yes,no,yes,LAT,Manuscript,1999,2002,Robert Helmerichs,European University Institute,not provided,not provided,not provided,not provided,no,no,yes,no,no,no,GER; NOR,ENG,not provided,not provided,not provided,not provided,no,not provided,not provided,no,no,not provided,not provided,no,Keyed,no,not provided,not provided,Lafayette University Library; Biblioteca Medicea Laurenziana,France,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D13C-6
190,Long Nineteenth Century,18th-19th,The Zibaldone project,http://www.birmingham.ac.uk/research/activity/leopardi/projects/index.aspx,yes,no,yes,ITA,Manuscript,not provided,not provided,not provided,University of Birmingham,not provided,not provided,not provided,partly,not provided,not provided,no,no,no,no,ENG,ENG,not provided,not provided,not provided,not provided,no,not provided,not provided,no,not provided,not provided,not provided,no,not provided,yes,not provided,not provided,not provided,Italy,Ministerio de Ciencia y Innovacion (MICINN),"€25,000",not provided,yes,no,no,not provided,21.11115/0000-000B-D13D-5
191,Modern,1914-1918,Virginie Loveling’s Diary,http://edities.kantl.be/loveling/,yes,yes,yes,DUT,Manuscript,not provided,2005,Edward Vanhoutte,Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal- en Letterkunde),General public,partly,yes,yes,yes,yes,no,no,no,no,no,DUT,no,no,no,no,no,Open Access and Open Source (all data),no,no,no,no,yes,no,Keyed,no,yes,no,University of Ghent,Belgium,not provided,not provided,XHTML; TEI; XSLT,yes,no,yes,not provided,21.11115/0000-000B-D13E-4
192,Long Nineteenth Century,1810-1876,William Golder Electronic Edition,http://nzetc.victoria.ac.nz/tm/scholarly/tei-corpus-golder.html,yes,yes,yes,ENG,Manuscript,not provided,not provided,Jamie Norrish,University of Wellington,not provided,yes,not provided,not provided,yes,yes,no,no,no,no,no,ENG,no,yes,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,partly,yes,Keyed,no,yes,not provided,not provided,New Zealand,Victoria University of Wellington; Alexander Turnbull Library,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D13F-3
193,Middle Ages,1200,William of Palerne,http://trove.nla.gov.au/work/33020507,yes,yes,yes,ENM,Manuscript,not provided,2001,Gerrit H.V. Bunt,National Library of Australia,not provided,partly,not provided,not provided,not provided,no,not provided,not provided,not provided,not provided,no,ENG,not provided,not provided,not provided,not provided,no,no,no,no,no,no,not provided,no,Keyed,no,not provided,not provided,Victoria University Library,France,not provided,not provided,CDROM,yes,no,yes,not provided,21.11115/0000-000B-D140-0
194,Long Nineteenth Century; Modern,20th,Wittgensteins Nachlass: The Bergen Electronic Edition,http://www.nlx.com/collections/124,yes,yes,yes,GER; ENG,Manuscript; Typescript; Dictation; Notebook,1998,2000,not provided,Intelex Corporation,not provided,partly,not provided,not provided,yes,no,not provided,not provided,not provided,not provided,no,ENG,not provided,not provided,yes,not provided,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,Various,not provided,not provided,CDROM,yes,no,yes,not provided,21.11115/0000-000B-D141-F
195,Long Nineteenth Century,1898,Zibaldone Europeo,http://www.birmingham.ac.uk/research/activity/leopardi/projects/barcelona.aspx,yes,no,yes,ITA,Manuscript,2010,2013,Maria de las Nieves Muñiz Muñiz,University of Birmingham,Scholars,not provided,not provided,partly,no,not provided,no,no,no,no,ENG; SPA,ENG; SPA,not provided,not provided,not provided,not provided,no,not provided,not provided,no,no,not provided,not provided,yes,not provided,yes,not provided,not provided,not provided,Italy,not provided,"£25,000.00",not provided,no,no,no,not provided,21.11115/0000-000B-D142-E
196,Early Modern,1681,Pietro Mellini's Inventory in verse 1681,http://www.getty.edu/research/mellini/,yes,yes,yes,ITA,Manuscript,2010,2015,Murtha Baca; Nuria Rodríguez Ortega,Getty Research Institute,Scholarly; general public,partly,not provided,yes,no,no,yes,yes,no,no,no,ENG,no,no,no,no,yes,Open Access and Open Source (some data),yes,no,no,yes,no,yes,Keyed,no,yes,yes,Getty Research Institute,Italy,Getty Research Trust,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D143-D
197,Early Modern; Long Nineteenth Century,16-18th,Inscriptiones Alborum Amicorum,http://iaa.bibl.u-szeged.hu/index.php,yes,yes,yes,LAT; GER; ENG; HEB; FRE; GRE,Friendship album; Autograph album; Book of friends,2003,2015,Anita Fajt,University of Szeged,Experts; general public,partly,yes,yes,no,no,yes,yes,no,no,no,HUN; ENG; GER,no,yes,no,yes,no,no,no,no,no,yes,no,yes,Keyed,no,yes,no,Various archives in Europe,Hungary,Dr. Miklós Latzkovits; Dr. Tünde Katona,not provided,Yii2; HTML5; CSS3,yes,no,yes,not provided,21.11115/0000-000B-D144-C
198,Early Modern,1566,"George Etheridge's Encomium on Henry VIII addressed to Elizabeth II, British Library Royal MS 16 C X",http://hellenic-institute.rhul.ac.uk/Research/Etheridge/,yes,yes,yes,GRC,Codex unicus,2011,present,Charalambos Dendrinos,Hellenic Institute of Royal Holloway; British Library,Scholars; students; general public,partly,no,no,yes,no,yes,no,no,yes,no,ENG,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,Keyed,no,no,no,Hellenic Institute of Royal Holloway,British Library,"Royal Holloway, University of London",not provided,HTML 4.01; CSS; JavaScript,no,no,no,not provided,21.11115/0000-000B-D145-B
199,Early Modern,16th,Digitalisierte Edition des Ältesten Appenzeller Landbuchs,http://www.ssrq-sds-fds.ch/teiviewer/,yes,yes,yes,GER,Manuscript,2007,2013,Pascale Sutter,Swiss Lawyers Society,Experts; Scholars,partly,partly,not provided,yes,no,yes,yes,no,no,no,GER,no,yes,no,yes,no,yes,no,no,no,no,no,no,Keyed,yes,no,yes,Zürich,Switzerland,Law Sources Foundation of the Swiss Lawyers Society,not provided,Java,yes,no,no,not provided,21.11115/0000-000B-D146-A
200,Early Modern,1500-1548,Corpus of Ioannes Dantiscus' Texts & Correspondence,http://dantiscus.al.uw.edu.pl/,yes,yes,yes,LAT; GER; SPA; POL; ITA; FRE; BEL; CZE,Letter,2007,present,Anna Skolimowska,University of Warsaw,Scholars,yes,partly,not provided,yes,no,yes,no,not provided,not provided,no,ENG; POL,no,yes,no,yes,no,no,no,no,no,yes,no,no,Keyed,no,yes,yes,Archiwum Archidiecezji Warmińskiej; Muzeum Narodowe w Krakowie; Biblioteka Czartoryskich; Geheimes Staatsarchiv Preußischer Kulturbesitz,Poland and other European countries,Polish Ministry of Science,not provided,Dantiscus (custom; PHP/MySQL/HTML/CSS/XML/XQuery),yes,no,no,not provided,21.11115/0000-000B-D147-9
201,Middle Ages,14th,Dante's Commedia,http://sd-editions.com/AnaAdditional/commediaonline/home.html,yes,yes,yes,ITA,Codex,1998,2010,Peter Robinson,University College London,Scholars,yes,yes,yes,yes,no,yes,yes,no,no,no,ENG,no,yes,yes,no,no,no,no,no,no,no,yes,no,Keyed,no,yes,yes,Various,Italy,AHRC; British Academy; De Montfort University; University of Birmingham; University of Saskatchewan,"$250,000",Anastasia,yes,no,yes,not provided,21.11115/0000-000B-D148-8
202,Early Modern,1550-1563,"A London Provisioner's Chronicle, 1550–1563, by Henry Machyn: Manuscript, Transcription, and Modernization",http://quod.lib.umich.edu/m/machyn/,yes,yes,yes,ENG,Manuscript,1990,2004,Kevin Hawkins,University of Michigan,Scholars; general public,yes,yes,yes,yes,no,yes,yes,no,no,no,ENG,yes,no,no,yes,no,yes,no,no,no,yes,no,no,Keyed,no,no,no,British Library,Cottonian Library,University of Michigan Library,not provided,DLXS,yes,no,yes,not provided,21.11115/0000-000B-D149-7
203,Middle Ages,501-1882,Collection of Swiss Law Sources,http://www.ssrq-sds-fds.ch/online/,yes,no,yes,LAT; GER; FRE; ITA; ROH,Charter; Document; Law Source,2011,not provided,Pascale Sutter,Swiss Lawyers Society,Experts; Scholars,yes,no,partly,yes,no,no,not provided,not provided,not provided,no,FRE; GER; ITA,no,yes,yes,no,no,yes,no,no,no,not provided,not provided,no,OCR,no,yes,yes,Various,Switzerland,Law Sources Foundation of the Swiss Lawyers Society,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D14A-6
204,Middle Ages,1475-1490,El Cancionero digital de Gómez Manrique (páginas 11-44),http://www.realbiblioteca.es/gomez_manrique/cancionero.html,yes,yes,yes,SPA,Manuscript,not provided,not provided,Andrea Iantorno,Real Biblioteca del Palacio Real de Madrid,Experts; Scholars,partly,not provided,yes,not provided,no,yes,yes,no,yes,no,SPA,no,no,no,no,yes,yes,no,no,no,no,no,no,Keyed,no,yes,not provided,Real Biblioteca del Palacio Real de Madrid,Spain,not provided,not provided,HTML; CSS,yes,no,no,not provided,21.11115/0000-000B-D14B-5
205,Antiquity; Middle Ages,pre-AD 900,ASChart Anglo-Saxon Charters,http://www.aschart.kcl.ac.uk/index.html,yes,yes,yes,ANG,Charter,2005,2005,Janet L. Nelson; Alex Burghart,King's College London (Department of Digital Humanities); King's College London (Department of History),Historians,yes,yes,yes,yes,no,no,no,no,no,no,ENG,no,yes,no,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,no,no,Various,Various,British Academy,not provided,xMod (KCL custom),yes,no,no,not provided,21.11115/0000-000B-D14C-4
206,Middle Ages,1130-1140,Excerpts from the Chronicle of Matthew of Edessa,http://byzantini.st/ChronicleME/,yes,yes,yes,ARM,Manuscript,2007,present,Tara Andrews,University of Oxford,Expert; scholars,yes,yes,yes,yes,no,no,no,no,no,yes,ENG,no,no,no,no,no,yes,no,no,no,no,yes,no,Keyed,no,no,no,Various,Various,not provided,not provided,Perl Catalyst framework,yes,no,no,not provided,21.11115/0000-000B-D14D-3
207,Early Modern,1715-1728,Les Cours d’Antoine Desgodets,http://www.desgodets.net,yes,yes,yes,FRE,Manuscript,2013,not provided,Robert Carvais; Emmanuel Château-Dutier,CNRS (Centre de théorie et analyse du droit) de l’Université de Paris Nanterre,Scholars,yes,yes,partly,yes,yes,yes,yes,no,yes,no,FRE,yes,yes,yes,yes,yes,Open Access and Open Source (some data),no,no,no,no,yes,yes,Keyed,no,no,no,Various,Various,Agence Nationale de Recherche ANR (France),"€100,000",XSLT; PHP,yes,no,no,not provided,21.11115/0000-000B-D14E-2
208,Early Modern,1599-1656,Digitale Edition und Kommentierung der Tagebücher des Fürsten Christian II. von Anhalt-Bernburg,http://diglib.hab.de/wdb.php?dir=edoc/ed000228&lang=en,yes,yes,yes,GER,Manuscript; Notebook,2013,present,Arndt Schreiber; Antoine Odier,Herzog August Bibliothek Wolfenbüttel; Universität Freiburg,not provided,partly,yes,yes,yes,yes,yes,yes,no,no,no,GER,no,no,no,no,yes,Open Access and Open Source (some data),no,no,no,no,no,no,Keyed,no,no,no,Herzog August Bibliothek Wolfenbüttel,Bernburg,DFG,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D14F-1
209,Middle Ages,12th,Die Relatio Adelberts von Heidenheim und der Text Ilsungs,http://www.forschungsdatenarchiv.escience.uni-tuebingen.de/adlils/,yes,yes,yes,LAT,Manuscript,2014,2016,Christian Schwaderer,University of Tübingen,Scholars; general public,yes,yes,yes,yes,yes,yes,yes,no,no,GER,GER,no,yes,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,partly,yes,Keyed,no,no,no,Dioezesanarchiv Eichstaett,Bayern,Deutsche Forschungsgemeinschaft,"€100,000",HTML5; JavaScript; CSS; XSLT 2.0; eXist,no,no,no,not provided,21.11115/0000-000B-D150-E
210,Middle Ages,1280-1420,Je chante ung chant,http://jechante.exeter.ac.uk/archive/index.html,yes,yes,yes,FRO,Manuscript,2007,2010,Yolanda Plumley; Giuliano Di Bacco; Tamsyn Rose-Steel; Gary Stringer,University of Exeter,Scholars,yes,yes,yes,yes,yes,no,not provided,not provided,not provided,no,ENG,no,no,yes,yes,no,Open Access and Open Source (some data),no,no,no,no,yes,no,Keyed,no,no,no,Various,France,AHRC,not provided,eXist; TEI-XML; XQuery; XSLT; HTML; CSS,no,no,no,not provided,21.11115/0000-000B-D151-D
211,Modern,1890-1954,Einstein Archives Online,http://www.alberteinstein.info/,yes,yes,no,ENG; GER; FRE; ITA; LAT; HEB; ARA; JPN; HUN; NNO,Manuscript,2003,2012,Dalia Mendelsson,Hebrew University of Jerusalem; California Institute of Technology,Scholars; general public,partly,not provided,yes,no,no,partly,no,no,no,ENG,ENG,no,yes,yes,yes,no,no,no,no,no,yes,no,no,not provided,no,no,no,Various,Various,The Polonsky Foundation,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D152-C
212,Middle Ages,1241,Codice Pelavicino,http://pelavicino.labcd.unipi.it/,yes,yes,yes,LAT,Codex,2014,present,Enrica Salvatori,Università di Pisa; Università degli Studi di Genova; Università degli Studi di Torino,Scholars; general public,yes,yes,yes,yes,no,yes,yes,no,no,ITA,ENG; ITA; FRE,no,yes,yes,no,yes,partly,no,no,no,yes,yes,no,Keyed,yes,no,no,Archivio Capitolare della Diocesi di Luni,Chiesa di Luni,not provided,not provided,HTML; CSS; EVT; JavaScript; jQuery,yes,no,yes,not provided,21.11115/0000-000B-D153-B
213,Modern,1927,Woolf Online,http://www.woolfonline.com/,yes,yes,no,ENG,Manuscript; Notebook; Print Edition; Letter; Essay,2011,present,Pamela L. Caughie; George K. Thiruvathukal,Loyola University Chicago,Scholars; general public,partly,not provided,yes,no,no,yes,no,no,no,no,ENG,no,yes,yes,yes,no,partly,no,no,no,yes,no,no,Keyed,no,yes,no,Various,England,National Endowment for the Humanities,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D154-A
214,Long Nineteenth Century,1851,Les manuscrits de Madame Bovary,http://www.bovary.fr/,yes,yes,no,FRE,Manuscript,not provided,not provided,Françoise Legendre,Bibliothèque municipale de Rouen; Centre Flaubert de l'Université de Rouen,Specialists; Students; general public; teachers,yes,partly,yes,no,no,yes,yes,no,no,no,FRE,no,yes,yes,yes,no,partly,no,no,no,yes,no,no,Keyed,no,yes,no,Bibliothèque municipale de Rouen,France,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D155-9
215,Long Nineteenth Century,19th,Digital Schomburg Editions: African American Women Writers of the 19th century,http://digital.nypl.org/schomburg/writers_aa19/,yes,yes,yes,ENG,Book,not provided,1999,Howard Dodson,New York Public Library,General public; Scholars; Teachers,yes,no,partly,yes,no,yes,yes,no,no,no,ENG,no,no,yes,no,no,partly,no,no,no,yes,yes,no,Keyed,no,yes,no,Schomburg Center for Research in Black Culture,United States,The Rockefeller Foundation; the Electronic Doorway Library Services program of the New York State Department of Education; Inso Corporation,not provided,Dynaweb SGML,yes,no,no,not provided,21.11115/0000-000B-D156-8
216,Early Modern; Long Nineteenth Century,18th-19th,Faust Edition,http://beta.faustedition.net/,yes,yes,yes,GER,Manuscript,2009,2015,Anne Bohnenkamp; Silke Henke; Fotis Jannidis,Frankfurter Goethehaus; Klassik Stiftung Weimar; University of Würzburg,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,no,no,yes,no,yes,Open Access and Open Source (some data),no,no,no,yes,yes,no,Keyed,no,yes,no,Various,Germany,DFG,not provided,JavaScript; PHP,yes,no,yes,not provided,21.11115/0000-000B-D157-7
217,Long Nineteenth Century,1859-1890,Theodor Fontane: Notizbücher,https://fontane-nb.dariah.eu/index.html,yes,yes,yes,GER,Notebook,2011,2017,Gabriele Radecke,University of Göttingen; SUB Göttingen; Staatsbibliothek zu Berlin Preußischer Kulturbesitz,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,no,no,no,no,yes,Open Access and Open Source (all data),no,yes,no,yes,no,no,Keyed,yes,yes,yes,Staatsbibliothek Berlin Preußischer Kulturbesitz,Germany,DFG,not provided,TextGrid; eXist DB; GitHub,yes,no,yes,not provided,21.11115/0000-000B-D158-6
218,Early Modern,1707-1772,Johann Christian Senckenberg: Digital Edition of the Diaries,http://senckenberg.ub.uni-frankfurt.de/s/startpage,yes,yes,yes,GER; LAT,Diary,2010,present,not provided,Goethe Universität Frankfurt am Main,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,yes,no,no,ENG,no,no,yes,yes,no,Open Access and Open Source (all data),yes,no,no,yes,no,yes,Keyed,yes,yes,no,Universitätsbibliothek Frankfurt am Main,Germany,Dr. Senckenbergische Stiftung; Stiftung Polytechnische Gesellschaft; Gemeinnützigen Hertie-Stiftung,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D159-5
219,Long Nineteenth Century,1829-1869,Édition des journaux d'Alexandre Dumas,http://alexandredumas.org/,yes,yes,no,FRE,Newspaper; Letter,2005,present,Sarah Mombert,École Normale Supérieure de Lyon; Université Lumière Lyon 2,Scholars; students; general public,partly,no,no,no,no,yes,yes,yes,no,no,FRE,no,yes,yes,no,no,yes,no,no,no,yes,partly,no,OCR,no,yes,no,Various,France,Ministère délégué à l'Enseignement supérieur et à la Recherche,not provided,webActors,yes,no,no,not provided,21.11115/0000-000B-D15A-4
220,Long Nineteenth Century,1820-1859,Alexander von Humboldt Briefedition,http://telota.bbaw.de/AvHBriefedition/index.html,yes,yes,yes,GER,Letter,not provided,not provided,Martin Grötschel,Berlin-Brandenburgische Akademie der Wissenschaften,Scholars; students; general public,yes,yes,yes,no,no,yes,yes,no,no,no,GER,yes,yes,yes,yes,no,Open Access and Open Source (some data),no,no,no,yes,no,yes,Keyed,no,yes,no,Berlin-Brandenburgische Akademie der Wissenschaften,Germany,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D15B-3
221,Long Nineteenth Century,1843-1897,Jacob Burckhardt,http://burckhardtsource.org/,yes,yes,yes,ITA; GER; ENG; FRE,Letter,2010,present,Maurizio Ghelardi,Scuola Normale Superiore di Pisa; Bildarchiv Foto Marburg,Scholars; students; general public,yes,yes,yes,yes,no,partly,yes,no,no,no,ENG,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,Keyed,yes,yes,no,not provided,Various,European Research Advanced Grant Project EUROCORR,not provided,LAMP; Muruca; SOLR; EVT; Korbo; Pundit,yes,no,yes,not provided,21.11115/0000-000B-D15C-2
222,Early Modern; Long Nineteenth Century; Modern; Contemporary,1641-2010,Key Documents of German-Jewish History,http://jewish-history-online.net/,yes,yes,yes,GER,Text; image; Sound recording; Audiovisual file,2015,2017,Miriam Rürup,Institute for the History of German Jews,College students; researchers; teachers; interested public; high school students,yes,yes,yes,yes,no,yes,yes,no,no,ENG,ENG; GER,yes,yes,yes,no,yes,Open Access and Open Source (some data),yes,no,no,yes,partly,yes,Keyed,yes,no,no,Various,Various,Akademie der Wissenschaften Hamburg; DFG,not provided,MyCoRe; open source CMS,yes,no,no,not provided,21.11115/0000-000B-D15D-1
223,Antiquity,630-570,Sappho’s Poems,http://inamidst.com/stuff/sappho/,yes,no,no,GRC,Papyrus; Manuscript; Potsheard,not provided,not provided,Sean B. Palmer,not provided,General public; scholars; teachers; students,no,no,partly,no,yes,no,no,no,no,ENG,ENG,no,no,no,no,no,Open Access and Open Source (all data),no,no,no,yes,no,yes,Keyed,no,yes,no,Various,Various,not provided,no,not provided,yes,no,no,not provided,21.11115/0000-000B-D15E-0
224,Early Modern,1532,L’Orlando Furioso e la sua traduzione in immagini,http://www.orlandofurioso.org/,yes,yes,yes,ITA,Print edition; Painting,not provided,not provided,Lina Bolzoni,Various,Scholars; students; teachers,partly,no,partly,no,no,yes,yes,no,no,no,ITA,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,Keyed,no,yes,no,Various,Various,not provided,not provided,Muruca,no,no,no,not provided,21.11115/0000-000B-D15F-F
225,Long Nineteenth Century,18th-19th,Schopenhauer’s Library: Annotations and marks in his Spanish books,http://www.schopenhauer.uni.wroc.pl/,yes,yes,yes,SPA,Book,2017,present,José Luis Losada Palenzuela,University of Wrocław,not provided,yes,no,no,yes,yes,yes,yes,no,no,no,ENG,no,no,yes,no,no,Open Access and Open Source (some data),no,no,no,no,yes,yes,Keyed,no,no,no,Universitätsbibliothek Frankfurt am Main; Schopenhauer-Gesellschaft e. V.,Various,not provided,not provided,Drupal; TEICHI,yes,no,no,not provided,21.11115/0000-000B-D160-C
226,Early Modern,16th,Clavius on the Web,http://claviusontheweb.it/,yes,yes,yes,ITA; LAT,Manuscript; Letter,not provided,not provided,Irene Pedretti,Archivio Storico della Pontificia Università Gregoriana; Istituto di Linguistica Computazionale (ILC); Istituto di Informatica e Telematica (IIT),Scholars; students,yes,yes,yes,yes,no,yes,yes,no,no,"LAT, ENG",ENG,no,partly,yes,no,no,yes,yes,no,no,partly,yes,yes,Keyed,yes,yes,no,Various,Various,not provided,not provided,CTS; Protégé; VIAF; Dbpedia,no,no,no,not provided,21.11115/0000-000B-D161-B
